				Austrian Centre for Digital Humanities, Karl-Franzens-Universität Graz" "Advantages and challenges of tokenized TEI" "Annotated corpora | Orthographic words | Crossing XML | TEI"
Jenstad Janelle "University of Victoria" "What is a Line? Encoding and Counting Lines in Early Modern Dramatic Texts" "lineation | early modern drama | textual instability | canonical line numbering | editorial ecosystems"
Josfeld Julia "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Reflecting the Influence of Technology on Models of Text in Scholarly Digital Editing" "theory of digital editing | digital scholarly editing | textual ontology"
Lehečka Boris "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Using Microsoft Word for preparing XML TEI-compliant digital editions" "Microsoft Word | processor | conversion | XSLT"
Maximova Daria "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Using Machine Learning for the Automated Classification of Stage Directions in TEI-Encoded Drama Corpora" "drama corpora | stage directions | short text classification | machine learning"
McAllister Patrick "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Growing collections of TEI texts: Some lessons from SARIT" "Sanskrit | Philology | Software | Editorial Process"
Meneses Luis "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Refining the Current Teaching Methodology of the TEI through the Analysis of Server Logs" "server logs | teaching methodology | TEI Guidelines"
Mondaca Francisco "Cologne Center for eHumanities" "Introducing an Open, Dynamic and Efficient Lexical Data Access for TEI-encoded Dictionaries on the Internet" "api | dictionary | framework | kosh | graphql | rest"
Mueller "Ermenegilda Rachel" "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "A TEI customization for the description of paper and watermarks" "paper | watermarks | customization | document description | support description"
Nakamura Satoru "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "An Attempt of Dissemination of TEI in a TEI-underdeveloped country: Activities of the SIG EAJ" "SIG | Japan | Aozora Bunko | Dissemination"
Okada Kazuhiro "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "An Encoding Strategic Proposal of “Ruby” Texts: Examples from Japanese Texts" "Japanese texts | ruby encoding | glosses"
Pollin Christopher "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
                   Karl-Franzens-Universität Graz" "Making Linkable Data from Account Books: Bookkeeping Ontology in the Digital Edition Publishing Cooperative for Historical Accounts" "Web of Data | GAMS | Historical Financial Records | Bookkeeping Ontology | Linked Open Data"
Roberts-Smith Jennifer "Zentrum für
                   Informationsmodellierung - Austrian Centre for Digital Humanities,
